Date,BTC-EUR,ETH-EUR,EGLD-EUR,CRO-EUR,USD-EUR
2021
1-11,1078.35,1742.64,1034.57,1003.64,1048.42
2021-11-12,1096.26,1676.99,1042.39,1005.48,1120.92
2021-11-13,1094.04,1045.36,1082.06,1001.11,1048.08
2021-11-14,1061.97,1752.48,1129.67,1002.15,1019.44
2021-11-15,1075.89,1082.89,1156.13,998.86,1156.90
2021-11-16,1062.78,1714.70,1180.21,999.86,1076.55
2021-11-17,1027.87,1126.33,1143.55,994.18,1171.10
2021-11-18,1025.33,1348.78,1160.61,999.62,1188.94
2021-11-19,1051.54,1687.70,1178.24,992.72,1099.44
2021-11-20,1014.71,1432.44,1259.17,996.98,1191.46
2021-11-21,1077.99,1048.61,1242.73,992.98,1150.17
2021-11-22,1018.25,1192.44,1239.53,991.31,1126.12
2021-11-23,1033.05,1772.42,1231.28,988.09,1028.64
2021-11-24,1077.56,1084.42,1338.03,985.17,1012.88
2021-11-25,1083.33,1031.37,1312.25,984.67,1138.96
2021-11-26,1074.71,1286.18,1298.10,984.34,1008.93
2021-11-27,1057.55,1296.45,1347.22,987.77,1102.80
2021-11-28,1016.88,1127.38,1317.87,983.97,1135.50
2021-11-29,1055.01,1897.93,1326.84,989.02,1207.32
2021-11-30,1040.67,1512.84,1395.89,980.24,1136.68
2021-12-01,1072.55,1685.41,1400.23,980.44,1134.52
2021-12-02,1072.40,1532.64,1409.51,985.34,1023.58
2021-12-03,1099.09,1384.80,1395.17,981.69,1108.40
2021-12-04,1066.31,1324.44,1447.91,977.85,1134.16
2021-12-05,1060.04,1886.96,1434.23,977.75,1111.91
2021-12-06,1071.71,1770.33,1504.86,980.36,1105.12
2021-12-07,1103.99,1442.47,1488.75,974.70,1076.17
2021-12-08,1069.66,1838.83,1450.74,973.93,1184.25
2021-12-09,1027.58,1213.81,1527.46,973.71,1149.87
2021-12-10,1071.65,1149.50,1482.66,974.29,1153.73
2021-12-11,1047.51,1582.42,1494.67,973.74,1144.13
2021-12-12,1026.75,1613.10,1573.15,975.39,1143.66
2021-12-13,1092.10,1057.49,1574.13,976.37,1108.43
2021-12-14,1105.36,1731.34,1539.92,975.76,1182.92
2021-12-15,1053.39,1822.80,1595.68,978.33,1019.71
2021-12-16,1028.55,1241.25,1594.46,979.47,1177.33
2021-12-17,1065.43,1672.47,1628.16,976.87,1031.95
2021-12-18,1051.48,1166.76,1641.75,974.98,1024.72
2021-12-19,1027.18,1633.60,1633.05,974.81,1084.15
2021-12-20,1110.62,1630.76,1648.21,970.99,1113.39
2021-12-21,1110.74,1047.00,1686.16,974.26,1111.47
2021-12-22,1040.94,1596.90,1677.49,975.12,1018.92
2021-12-23,1074.22,1576.53,1657.36,969.12,1077.96
2021-12-24,1081.96,1679.75,1650.35,971.23,1133.23
2021-12-25,1123.43,1073.76,1636.39,977.05,1118.83
2021-12-26,1067.91,1014.23,1724.06,968.06,1005.81
2021-12-27,1094.16,1565.72,1735.33,970.77,1175.95
2021-12-28,1105.84,1150.15,1688.12,970.04,1010.70
2021-12-29,1103.50,1567.95,1750.12,969.10,1152.30
2021-12-30,1062.65,1369.34,1740.64,970.72,1169.70
2021-12-31,1112.72,1250.23,1691.55,975.80,1054.75
2022-01-01,1100.74,1432.43,1704.83,967.30,1044.03
2022-01-02,1100.27,1243.91,1760.81,974.73,1064.38
2022-01-03,1102.29,1012.56,1772.65,966.94,1080.99
2022-01-04,1084.52,1695.24,1743.61,976.89,1068.29
2022-01-05,1063.89,1512.06,1759.59,968.62,1178.59
2022-01-06,1062.74,1292.64,1774.75,970.22,1164.34
2022-01-07,1060.00,1035.61,1754.30,970.29,1169.03
2022-01-08,1101.33,1709.76,1760.61,968.38,1040.91
2022-01-09,1108.94,1013.56,1759.09,969.32,1074.27
2022-01-10,1101.45,1543.49,1726.99,974.89,1039.43
2022-01-11,1061.35,1212.92,1748.17,974.63,1098.40
2022-01-12,1050.28,1500.09,1746.09,970.99,1103.43
2022-01-13,1083.87,1455.89,1760.12,971.44,1139.73
2022-01-14,1075.36,1085.86,1780.13,971.54,1086.18
2022-01-15,1063.84,1105.59,1766.30,975.87,1068.80
2022-01-16,1126.92,1631.06,1800.85,975.44,1171.51
2022-01-17,1100.20,1405.22,1768.43,980.42,1140.46
2022-01-18,1088.28,1785.98,1795.88,980.44,1023.16
2022-01-19,1084.57,1711.85,1792.62,978.71,1125.82
2022-01-20,1107.48,1692.46,1817.46,972.90,1101.64
2022-01-21,1130.78,1461.63,1768.95,977.44,1024.89
2022-01-22,1071.90,1063.84,1825.71,976.54,1030.61
2022-01-23,1103.77,1390.05,1772.39,977.60,978.10
2022-01-24,1079.63,1396.48,1845.07,975.72,1036.21
2022-01-25,1147.49,1783.21,1787.38,976.82,1067.83
2022-01-26,1054.39,1270.08,1818.39,982.32,1020.77
2022-01-27,1060.53,1596.98,1818.31,981.00,1046.45
2022-01-28,1119.64,1790.67,1796.31,986.81,1062.20
2022-01-29,1068.58,1107.45,1787.11,980.77,1117.71
2022-01-30,1110.44,1605.58,1828.21,987.41,996.94
2022-01-31,1092.58,1498.38,1759.38,982.26,1103.54
2022-02-01,1130.59,1039.16,1810.63,983.24,1069.77
2022-02-02,1072.85,1166.76,1768.48,984.78,995.80
2022-02-03,1115.93,1150.23,1769.51,989.16,1076.14
2022-02-04,1144.88,1610.01,1756.37,989.78,1063.60
2022-02-05,1107.08,1533.67,1812.04,994.45,1122.34
2022-02-06,1065.43,1760.04,1788.94,985.94,1044.23
2022-02-07,1100.21,1452.79,1791.58,994.58,1134.15
2022-02-08,1075.74,1038.46,1792.91,990.46,1021.63
2022-02-09,1132.96,1037.34,1788.99,988.90,1027.73
2022-02-10,1138.54,1645.30,1758.09,994.33,1012.05
2022-02-11,1087.35,1006.31,1717.85,993.06,1133.04
2022-02-12,1096.16,1520.14,1782.65,1001.33,993.41
2022-02-13,1147.74,1263.38,1764.36,1000.84,1065.41
2022-02-14,1081.61,1573.34,1714.85,1001.50,1024.12
2022-02-15,1150.25,1464.48,1707.61,1002.14,985.20
2022-02-16,1084.10,1296.21,1730.79,1004.79,1067.07
2022-02-17,1157.34,1459.18,1719.40,1002.95,1131.63
2022-02-18,1113.53,1414.80,1733.82,1006.73,947.78
2022-02-19,1158.41,1322.47,1670.26,1001.12,1109.36
2022-02-20,1114.29,1253.98,1673.10,1005.83,1028.27
2022-02-21,1147.01,1678.19,1664.58,1011.61,1047.40
